cntry,nuts1,nuts2,n2_tpopsz_2014,n2_tpopsz_2015,n2_fpopsz_2014,n2_fpopsz_2015,n2_mpopsz_2014,n2_mpopsz_2015,n2_pode_2014,n2_cnmigrat_2014,n2_grow_2014,n2_cnmigratrt_2014,n2_gdp_eurhab_2014,n2_gdp_eurhabeu_2014,n2_mio_eur_2014,n2_mio_pps_2014,n2_pps_hab_2014,n2_loun_ths_2015,n2_loun_pc_une_2015,n2_loun_pc_act_2015,n2_un1524_2015,n2_unall_2015,n2_uno25_2015,n2_unra1524_2015,n2_unraall_2015,n2_unrao25_2015,n2_liexle_2014,n2_infantm_2014,n2_infantmrt_2014,n2_hcide_2010,n2_robbr_2010,n2_dburg_2010,n2_vthft_2010
AT,AT1,AT11,287318,288178,146960,147220,140358,140958,78.4,1868,860,6.5,26500,97,7638,7033,24400, , , , ,7.4,6.2, ,5.2,4.9,81.4,6,2.7,5,19,223,75
AT,AT1,AT12,1626262,1635695,828359,832537,797903,803158,86.2,11374,9433,7,31400,114,51180,47127,28900,12.9,29.4,1.5,11.3,44,32.7,10.6,5.2,4.4,81.3,46,3.2,11,226,2557,906
AT,AT1,AT13,1765575,1794799,915345,928591,850230,866208,4506.8,25978,29224,14.6,47300,172,84211,77542,43500,34.4,36.2,3.8,19.1,95.3,76.2,18,10.6,9.6,80.5,87,4.5,17,3123,9319,2937
AT,AT2,AT21,555743,557047,285672,286160,270071,270887,59.4,2342,1304,4.2,32200,117,17937,16517,29700,4.8,29.3,1.8,3.4,16.5,13.1,10.2,6.1,5.5,81.8,6,1.3,3,90,507,180
AT,AT2,AT22,1214927,1220495,619041,620990,595886,599505,74.9,7019,5568,5.8,34700,126,42279,38931,32000,7.4,25.4,1.2,7.6,29,21.5,9.7,4.7,4,82,30,2.9,3,261,1163,271
AT,AT3,AT31,1425982,1435335,723152,727044,702830,708291,122.1,7537,9353,5.3,39200,143,56170,51722,36100,6.4,20.3,.8,9.5,31.4,21.9,9,4.1,3.3,82,42,2.9,10,293,988,415
AT,AT3,AT32,534185,538102,274581,276272,259604,261830,76,2788,3917,5.2,45200,165,24256,22335,41600, , , , ,9.9,7.3, ,3.5,3,82.6,15,2.8,4,120,438,158
AT,AT3,AT33,721574,728435,367794,370848,353780,357587,57.9,5419,6861,7.5,41200,150,29893,27525,38000, , , , ,11.5,8.8, ,3,2.6,82.8,14,2,3,108,361,138
AT,AT3,AT34,375323,378175,190349,191634,184974,186541,148.7,1577,2852,4.2,41500,151,15642,14404,38200, , , , ,7,4.9, ,3.5,2.9,83.1,3,.7,0,70,191,70
BE,BE1,BE10,1183841,1196831,603520,609555,580321,587276,7393.4,3436,12990,2.9,62900,229,73381,66486,57000,58,63.8,11,11.8,90.9,79.1,36.2,17.3,16.1,81.1,59,3.2,30,8726,11606,3130
