cntry,nuts1,nuts2,nuts3
AT,AT1,AT11,AT111
AT,AT1,AT11,AT112
AT,AT1,AT11,AT113
AT,AT1,AT12,AT121
AT,AT1,AT12,AT122
AT,AT1,AT12,AT123
AT,AT1,AT12,AT124
AT,AT1,AT12,AT125
AT,AT1,AT12,AT126
AT,AT1,AT12,AT127
AT,AT1,AT13,AT130
AT,AT2,AT21,AT211
AT,AT2,AT21,AT212
AT,AT2,AT21,AT213
AT,AT2,AT22,AT221
AT,AT2,AT22,AT222
AT,AT2,AT22,AT223
AT,AT2,AT22,AT224
AT,AT2,AT22,AT225
AT,AT2,AT22,AT226
AT,AT3,AT31,AT311
AT,AT3,AT31,AT312
AT,AT3,AT31,AT313
AT,AT3,AT31,AT314
AT,AT3,AT31,AT315
AT,AT3,AT32,AT321
AT,AT3,AT32,AT322
AT,AT3,AT32,AT323
AT,AT3,AT33,AT331
AT,AT3,AT33,AT332
AT,AT3,AT33,AT333
AT,AT3,AT33,AT334
AT,AT3,AT33,AT335
AT,AT3,AT34,AT341
AT,AT3,AT34,AT342
BE,BE1,BE10,BE100
BE,BE2,BE21,BE211
BE,BE2,BE21,BE212
BE,BE2,BE21,BE213
BE,BE2,BE22,BE221
BE,BE2,BE22,BE222
BE,BE2,BE22,BE223
BE,BE2,BE23,BE231
BE,BE2,BE23,BE232
BE,BE2,BE23,BE233
BE,BE2,BE23,BE234
BE,BE2,BE23,BE235
BE,BE2,BE23,BE236
BE,BE2,BE24,BE241
BE,BE2,BE24,BE242
BE,BE2,BE25,BE251
BE,BE2,BE25,BE252
BE,BE2,BE25,BE253
BE,BE2,BE25,BE254
BE,BE2,BE25,BE255
BE,BE2,BE25,BE256
BE,BE2,BE25,BE257
BE,BE2,BE25,BE258
BE,BE3,BE31,BE310
BE,BE3,BE32,BE321
BE,BE3,BE32,BE322
BE,BE3,BE32,BE323
BE,BE3,BE32,BE324
BE,BE3,BE32,BE325
BE,BE3,BE32,BE326
BE,BE3,BE32,BE327
BE,BE3,BE33,BE331
BE,BE3,BE33,BE332
BE,BE3,BE33,BE334
BE,BE3,BE33,BE335
BE,BE3,BE33,BE336
BE,BE3,BE34,BE341
BE,BE3,BE34,BE342
BE,BE3,BE34,BE343
BE,BE3,BE34,BE344
BE,BE3,BE34,BE345
BE,BE3,BE35,BE351
BE,BE3,BE35,BE352
BE,BE3,BE35,BE353
CH,CH0,CH01,CH011
CH,CH0,CH01,CH012
CH,CH0,CH01,CH013
CH,CH0,CH02,CH021
CH,CH0,CH02,CH022
CH,CH0,CH02,CH023
CH,CH0,CH02,CH024
CH,CH0,CH02,CH025
CH,CH0,CH03,CH031
CH,CH0,CH03,CH032
CH,CH0,CH03,CH033
CH,CH0,CH04,CH040
CH,CH0,CH05,CH051
CH,CH0,CH05,CH052
CH,CH0,CH05,CH053
CH,CH0,CH05,CH054
CH,CH0,CH05,CH055
CH,CH0,CH05,CH056
CH,CH0,CH05,CH057
CH,CH0,CH06,CH061
CH,CH0,CH06,CH062
CH,CH0,CH06,CH063
CH,CH0,CH06,CH064
CH,CH0,CH06,CH065
CH,CH0,CH06,CH066
CH,CH0,CH07,CH070
CZ,CZ0,CZ01,CZ010
CZ,CZ0,CZ02,CZ020
CZ,CZ0,CZ03,CZ031
CZ,CZ0,CZ03,CZ032
CZ,CZ0,CZ04,CZ041
CZ,CZ0,CZ04,CZ042
CZ,CZ0,CZ05,CZ051
CZ,CZ0,CZ05,CZ052
CZ,CZ0,CZ05,CZ053
CZ,CZ0,CZ06,CZ063
CZ,CZ0,CZ06,CZ064
CZ,CZ0,CZ07,CZ071
CZ,CZ0,CZ07,CZ072
CZ,CZ0,CZ08,CZ080
DE,DE1,DE11,DE111
DE,DE1,DE11,DE112
DE,DE1,DE11,DE113
DE,DE1,DE11,DE114
DE,DE1,DE11,DE115
DE,DE1,DE11,DE116
DE,DE1,DE11,DE117
DE,DE1,DE11,DE118
DE,DE1,DE11,DE119
DE,DE1,DE11,DE11A
DE,DE1,DE11,DE11B
DE,DE1,DE11,DE11C
DE,DE1,DE11,DE11D
DE,DE1,DE12,DE121
DE,DE1,DE12,DE122
DE,DE1,DE12,DE123
DE,DE1,DE12,DE124
DE,DE1,DE12,DE125
DE,DE1,DE12,DE126
DE,DE1,DE12,DE127
DE,DE1,DE12,DE128
DE,DE1,DE12,DE129
DE,DE1,DE12,DE12A
DE,DE1,DE12,DE12B
DE,DE1,DE12,DE12C
DE,DE1,DE13,DE131
DE,DE1,DE13,DE132
DE,DE1,DE13,DE133
DE,DE1,DE13,DE134
DE,DE1,DE13,DE135
DE,DE1,DE13,DE136
DE,DE1,DE13,DE137
DE,DE1,DE13,DE138
DE,DE1,DE13,DE139
DE,DE1,DE13,DE13A
DE,DE1,DE14,DE141
DE,DE1,DE14,DE142
DE,DE1,DE14,DE143
DE,DE1,DE14,DE144
DE,DE1,DE14,DE145
DE,DE1,DE14,DE146
DE,DE1,DE14,DE147
DE,DE1,DE14,DE148
DE,DE1,DE14,DE149
DE,DE2,DE21,DE211
DE,DE2,DE21,DE212
DE,DE2,DE21,DE213
DE,DE2,DE21,DE214
DE,DE2,DE21,DE215
DE,DE2,DE21,DE216
DE,DE2,DE21,DE217
DE,DE2,DE21,DE218
DE,DE2,DE21,DE219
DE,DE2,DE21,DE21A
DE,DE2,DE21,DE21B
DE,DE2,DE21,DE21C
DE,DE2,DE21,DE21D
DE,DE2,DE21,DE21E
DE,DE2,DE21,DE21F
DE,DE2,DE21,DE21G
DE,DE2,DE21,DE21H
DE,DE2,DE21,DE21I
DE,DE2,DE21,DE21J
DE,DE2,DE21,DE21K
DE,DE2,DE21,DE21L
DE,DE2,DE21,DE21M
DE,DE2,DE21,DE21N
DE,DE2,DE22,DE221
DE,DE2,DE22,DE222
DE,DE2,DE22,DE223
DE,DE2,DE22,DE224
DE,DE2,DE22,DE225
DE,DE2,DE22,DE226
DE,DE2,DE22,DE227
DE,DE2,DE22,DE228
DE,DE2,DE22,DE229
DE,DE2,DE22,DE22A
DE,DE2,DE22,DE22B
DE,DE2,DE22,DE22C
DE,DE2,DE23,DE231
DE,DE2,DE23,DE232
DE,DE2,DE23,DE233
DE,DE2,DE23,DE234
DE,DE2,DE23,DE235
DE,DE2,DE23,DE236
DE,DE2,DE23,DE237
DE,DE2,DE23,DE238
DE,DE2,DE23,DE239
DE,DE2,DE23,DE23A
DE,DE2,DE24,DE241
DE,DE2,DE24,DE242
DE,DE2,DE24,DE243
DE,DE2,DE24,DE244
DE,DE2,DE24,DE245
DE,DE2,DE24,DE246
DE,DE2,DE24,DE247
DE,DE2,DE24,DE248
DE,DE2,DE24,DE249
DE,DE2,DE24,DE24A
DE,DE2,DE24,DE24B
DE,DE2,DE24,DE24C
DE,DE2,DE24,DE24D
DE,DE2,DE25,DE251
DE,DE2,DE25,DE252
DE,DE2,DE25,DE253
DE,DE2,DE25,DE254
DE,DE2,DE25,DE255
DE,DE2,DE25,DE256
DE,DE2,DE25,DE257
DE,DE2,DE25,DE258
DE,DE2,DE25,DE259
DE,DE2,DE25,DE25A
DE,DE2,DE25,DE25B
DE,DE2,DE25,DE25C
DE,DE2,DE26,DE261
DE,DE2,DE26,DE262
DE,DE2,DE26,DE263
DE,DE2,DE26,DE264
DE,DE2,DE26,DE265
DE,DE2,DE26,DE266
DE,DE2,DE26,DE267
DE,DE2,DE26,DE268
DE,DE2,DE26,DE269
DE,DE2,DE26,DE26A
DE,DE2,DE26,DE26B
DE,DE2,DE26,DE26C
DE,DE2,DE27,DE271
DE,DE2,DE27,DE272
DE,DE2,DE27,DE273
DE,DE2,DE27,DE274
DE,DE2,DE27,DE275
DE,DE2,DE27,DE276
DE,DE2,DE27,DE277
DE,DE2,DE27,DE278
DE,DE2,DE27,DE279
DE,DE2,DE27,DE27A
DE,DE2,DE27,DE27B
DE,DE2,DE27,DE27C
DE,DE2,DE27,DE27D
DE,DE2,DE27,DE27E
DE,DE3,DE30,DE300
DE,DE4,DE40,DE401
DE,DE4,DE40,DE402
DE,DE4,DE40,DE403
DE,DE4,DE40,DE404
DE,DE4,DE40,DE405
DE,DE4,DE40,DE406
DE,DE4,DE40,DE407
DE,DE4,DE40,DE408
DE,DE4,DE40,DE409
DE,DE4,DE40,DE40A
DE,DE4,DE40,DE40B
DE,DE4,DE40,DE40C
DE,DE4,DE40,DE40D
DE,DE4,DE40,DE40E
DE,DE4,DE40,DE40F
DE,DE4,DE40,DE40G
DE,DE4,DE40,DE40H
DE,DE4,DE40,DE40I
DE,DE5,DE50,DE501
DE,DE5,DE50,DE502
DE,DE6,DE60,DE600
DE,DE7,DE71,DE711
DE,DE7,DE71,DE712
DE,DE7,DE71,DE713
DE,DE7,DE71,DE714
DE,DE7,DE71,DE715
DE,DE7,DE71,DE716
DE,DE7,DE71,DE717
DE,DE7,DE71,DE718
DE,DE7,DE71,DE719
DE,DE7,DE71,DE71A
DE,DE7,DE71,DE71B
DE,DE7,DE71,DE71C
DE,DE7,DE71,DE71D
DE,DE7,DE71,DE71E
DE,DE7,DE72,DE721
DE,DE7,DE72,DE722
DE,DE7,DE72,DE723
DE,DE7,DE72,DE724
DE,DE7,DE72,DE725
DE,DE7,DE73,DE731
DE,DE7,DE73,DE732
DE,DE7,DE73,DE733
DE,DE7,DE73,DE734
DE,DE7,DE73,DE735
DE,DE7,DE73,DE736
DE,DE7,DE73,DE737
DE,DE8,DE80,DE801
DE,DE8,DE80,DE802
DE,DE8,DE80,DE803
