,domain,area,pop_16,fem_16,fem_p_16,male_16,popdens_16,netmig_16,netmig_r_16,gdp_eurhab_16,gdp_mil_16,pps_16,pps_hab_16,loun_ths_16,loun_p_act_16,un1524_ths_16,unall_ths_2016,unra1524_16,unraall_16,hcide_10,hcide_r_10,robb_10,robb_r_10,burg_10,burg_r_10,vthft_10,vthft_r_10,he_p_16,medage_16
1,AT11,1,291011,148052,0.508750528,142959,79.4,1841,0.632622135,28600,8334.08,7681.17,26300, , , ,8.1, ,5.7,5,0.171814811,19,0.652896282,223,7.662940576,75,2.577222167,26.4,46.3
2,AT12,2,1653691,839555,0.507685535,814136,87.7,13599,0.822342263,33300,55318.99,50985.16,30700,14.9,1.8,9.5,44,9.3,5.2,11,0.066517868,226,1.366639838,2557,15.46238082,906,5.478653509,28.6,44.7
3,AT13,3,1840226,947141,0.514687326,893085,4693.4,22583,1.227186226,49200,91221.72,84075.16,45400,41.5,4.4,22.8,105.8,20.3,11.3,17,0.092379958,3123,16.97074164,9319,50.64051915,2937,15.95999622,35.9,39.7
4,AT21,4,560482,287033,0.512118141,273449,59.9,1684,0.300455679,34200,19169.5,17667.71,31500,4.2,1.5,4.1,14.8,12.2,5.4,3,0.053525359,90,1.605760756,507,9.045785592,180,3.211521512,27.2,45.9
5,AT22,5,1232012,624786,0.507126554,607226,76,6383,0.518095603,36500,45129.66,41594.08,33700,8.8,1.4,8,31.9,10.2,5.1,3,0.024350412,261,2.118485859,1163,9.439843118,271,2.199653899,25.9,44.2
6,AT31,6,1453948,733791,0.504688613,720157,124.6,8544,0.587641374,41600,60697.45,55942.25,38300,9.2,1.2,8,34.6,7.6,4.4,10,0.068778251,293,2.015202745,988,6.795291166,415,2.854297403,26.7,42.8
7,AT32,7,545815,278648,0.5105173,267167,77.7,2285,0.418640015,48900,26785.71,24687.24,45100, , ,3.1,9.9,8.1,3.4,4,0.073284904,120,2.198547127,438,8.024697013,158,2.894753717,29,42.6
8,AT33,8,739139,375090,0.507468825,364049,59.3,5265,0.712315275,43600,32392.99,29855.23,40200,3,0.8,3.7,13.8,7.2,3.5,3,0.040587765,108,1.461159538,361,4.884061049,138,1.867037188,25.6,41.8
9,AT34,9,384147,193822,0.504551643,190325,152.5,3204,0.834055713,44100,17055.14,15718.99,40600, , , ,7.1, ,3.4,0,0,70,1.822219098,191,4.972054969,70,1.822219098,24.8,41.3
10,BE10,10,1201285,611496,0.509034908,589789,7454.6,-11133,-0.926757597,64200,76430.45,70062.34,58900,54.3,10.2,11.7,89.6,35.9,16.7,30,0.249732578,8726,72.63888253,11606,96.61321002,3130,26.05543231,38.1,35.5
11,BE21,11,1828927,921759,0.503988951,907168,655.9,6460,0.353212567,44800,82041.53,75205.92,41100,22.5,2.8,12.1,49.4,18.5,6.1,30,0.164030604,3681,20.12655508,10860,59.37907855,2673,14.61512679,31.1,41.9
12,BE22,12,866970,434332,0.500976966,432638,363.6,1696,0.195623839,30800,26653.62,24432.87,28200,8.2,2.1,3.1,18.8,9.8,4.8,11,0.126878669,566,6.528484261,3092,35.66444052,944,10.88849672,29.8,43.6
13,BE23,13,1489084,754237,0.506510714,734847,506.7,8507,0.571290807,34800,51917.96,47592.21,31900,10.2,1.5,8,29.3,15.1,4.2,8,0.053724303,1488,9.992720357,5642,37.88906469,1520,10.20761757,35.4,42.3
14,BE24,14,1122600,572406,0.509893105,550194,536,6841,0.609388919,40700,45866.51,42044.96,37300,11,2.1,4.9,24.8,15.2,4.8,10,0.089078924,997,8.881168715,6084,54.19561732,1214,10.81418136,41.6,42.4
15,BE25,15,1184418,597928,0.504828532,586490,379.5,5151,0.434897139,36800,43589,39957.21,33700,6.6,1.2,4.2,19.7,8.9,3.7,12,0.101315583,891,7.522682026,3376,28.50345064,1397,11.79482244,32.5,45.3
16,BE31,16,397745,204723,0.514709173,193022,365.5,1633,0.410564558,42400,16860.14,15455.37,38800,6.4,3.6,2.6,14,22.4,7.9,10,0.251417365,434,10.91151366,2334,58.68081308,577,14.50678198,44.6,41.5
17,BE32,17,1341267,689295,0.513913337,651972,355.4,2153,0.160519867,24000,32143.34,29465.19,22000,39.6,7.3,13.9,64,33.3,11.8,30,0.223669113,3266,24.35011075,12435,92.71084728,3942,29.39012143,26.4,41.3
18,BE33,18,1103490,563284,0.510456823,540206,287.4,2352,0.213141941,26900,29641.45,27171.75,24700,28.9,6.4,7.9,50.2,24.4,11.1,28,0.253740405,2907,26.34369138,8696,78.8045202,3223,29.2073331,29.3,41.1
19,BE34,19,283257,141679,0.500178283,141578,64,1106,0.390458135,23700,6650.58,6096.47,21700,3.5,2.8,2.7,9.7,25.5,7.8,6,0.211821773,228,8.04922738,1219,43.03512358,413,14.58039872,30.7,39.4
20,BE35,20,492074,250714,0.509504668,241360,134.9,2045,0.415587899,25900,12684.68,11627.81,23700,9.5,4.5,3.8,20.2,26.5,9.7,9,0.18289932,619,12.57940879,2954,60.03162126,783,15.91224084,30.2,40.9
21,CH01,21,1593839,813912,0.510661365,779927,194.2,13563,0.850964244, , , , ,26.6,3.1,15.3,65.1,14.2,7.6,10,0.062741594,1028,6.449835899,8960,56.21646854,2831,17.76214536,35,40.7
22,CH02,22,1842251,934839,0.507443883,907412,189.8,14618,0.793485795, , , , ,16.2,1.5,12.3,49,8.4,4.6,9,0.048853278,468,2.540370449,3927,21.31631358,1730,9.390685634,32.4,43.1
23,CH03,23,1128723,569614,0.504653489,559109,587.1,10951,0.970211469, , , , ,9.6,1.5,7,32.7,8.6,4.9,6,0.053157418,330,2.923657975,2143,18.9860577,1134,10.04675195,35.7,43.2
24,CH04,24,1466424,737907,0.503201666,728517,893.1,15210,1.037217067, , , , ,11.2,1.3,6.4,34.6,6.3,3.9,14,0.095470341,624,4.255249505,5365,36.58559871,675,4.60303432,44.4,41
25,CH05,25,1153485,576024,0.499377105,577461,102.7,6411,0.555793964, , , , ,10,1.5,6.5,27.7,6.6,4,8,0.069355041,179,1.551819053,1318,11.42624308,721,6.250623112,30,42.7
26,CH06,26,790458,392879,0.49702704,397579,186.9,6141,0.776891372, , , , ,6.3,1.3,3.6,16.5,5.2,3.4,3,0.037952681,153,1.93558671,1275,16.12988925,472,5.971221747,35.6,42.2
27,CH07,27,351946,180480,0.512805942,171466,129.2,2611,0.741875174, , , , ,5.7,3.1,2.7,12.7,13.4,6.9,2,0.0568269,71,2.017354935,1131,32.13561171,293,8.325140789,31.7,45.8
28,CZ01,28,1267449,652780,0.51503453,614669,2626.8,10271,0.810367912,34900,44409.03,68192.23,53600,5.3,0.8,1.9,15.2,7.4,2.2,16,0.126237821,773,6.098864727,2753,21.72079508,4540,35.81998171,38.8,41
29,CZ02,29,1326876,671941,0.506408285,654935,124.4,10053,0.757644271,15500,20632.19,31681.73,23800,7,1,3.7,20.9,9.9,3.1,9,0.067828493,366,2.758358731,1570,11.83230385,2009,15.14082703,19,40.7
30,CZ03,30,1214450,614356,0.505871794,600094,70.9,2870,0.236320968,14600,17788.39,27314.93,22500,7.2,1.2,3.5,19,8.8,3.1,10,0.082341801,411,3.384248014,778,6.406192103,1058,8.711762526,17.1,42.1
31,CZ04,31,1120654,565601,0.50470618,555053,132.1,-1381,-0.123231613,11900,13300.32,20423.29,18200,14,2.5,4.3,29,10.4,5.2,15,0.133850412,630,5.621717319,1175,10.48494897,1594,14.22383715,12.6,41.7
