"","domain","fem_p_16","popdens_16","netmig_r_16","gdp_eurhab_16","unraall_16","robb_r_10","burg_r_10","vthft_r_10","he_p_16","medage_16"
"1","AT11",0.508750528,79.4,0.632622135,28600,5.7,0.652896282,7.662940576,2.577222167,26.4,46.3
"2","AT12",0.507685535,87.7,0.822342263,33300,5.2,1.366639838,15.46238082,5.478653509,28.6,44.7
"3","AT13",0.514687326,4693.4,1.227186226,49200,11.3,16.97074164,50.64051915,15.95999622,35.9,39.7
"4","AT21",0.512118141,59.9,0.300455679,34200,5.4,1.605760756,9.045785592,3.211521512,27.2,45.9
"5","AT22",0.507126554,76,0.518095603,36500,5.1,2.118485859,9.439843118,2.199653899,25.9,44.2
"6","AT31",0.504688613,124.6,0.587641374,41600,4.4,2.015202745,6.795291166,2.854297403,26.7,42.8
"7","AT32",0.5105173,77.7,0.418640015,48900,3.4,2.198547127,8.024697013,2.894753717,29,42.6
"8","AT33",0.507468825,59.3,0.712315275,43600,3.5,1.461159538,4.884061049,1.867037188,25.6,41.8
"9","AT34",0.504551643,152.5,0.834055713,44100,3.4,1.822219098,4.972054969,1.822219098,24.8,41.3
"10","BE10",0.509034908,7454.6,-0.926757597,64200,16.7,72.63888253,96.61321002,26.05543231,38.1,35.5
"11","BE21",0.503988951,655.9,0.353212567,44800,6.1,20.12655508,59.37907855,14.61512679,31.1,41.9
"12","BE22",0.500976966,363.6,0.195623839,30800,4.8,6.528484261,35.66444052,10.88849672,29.8,43.6
"13","BE23",0.506510714,506.7,0.571290807,34800,4.2,9.992720357,37.88906469,10.20761757,35.4,42.3
"14","BE24",0.509893105,536,0.609388919,40700,4.8,8.881168715,54.19561732,10.81418136,41.6,42.4
"15","BE25",0.504828532,379.5,0.434897139,36800,3.7,7.522682026,28.50345064,11.79482244,32.5,45.3
"16","BE31",0.514709173,365.5,0.410564558,42400,7.9,10.91151366,58.68081308,14.50678198,44.6,41.5
"17","BE32",0.513913337,355.4,0.160519867,24000,11.8,24.35011075,92.71084728,29.39012143,26.4,41.3
"18","BE33",0.510456823,287.4,0.213141941,26900,11.1,26.34369138,78.8045202,29.2073331,29.3,41.1
"19","BE34",0.500178283,64,0.390458135,23700,7.8,8.04922738,43.03512358,14.58039872,30.7,39.4
"20","BE35",0.509504668,134.9,0.415587899,25900,9.7,12.57940879,60.03162126,15.91224084,30.2,40.9
"21","CH01",0.510661365,194.2,0.850964244,34800,7.6,6.449835899,56.21646854,17.76214536,35,40.7
"22","CH02",0.507443883,189.8,0.793485795,47700,4.6,2.540370449,21.31631358,9.390685634,32.4,43.1
"23","CH03",0.504653489,587.1,0.970211469,39900,4.9,2.923657975,18.9860577,10.04675195,35.7,43.2
"24","CH04",0.503201666,893.1,1.037217067,75300,3.9,4.255249505,36.58559871,4.60303432,44.4,41
"25","CH05",0.499377105,102.7,0.555793964,32900,4,1.551819053,11.42624308,6.250623112,30,42.7
"26","CH06",0.49702704,186.9,0.776891372,56400,3.4,1.93558671,16.12988925,5.971221747,35.6,42.2
"27","CH07",0.512805942,129.2,0.741875174,44800,6.9,2.017354935,32.13561171,8.325140789,31.7,45.8
"28","CZ01",0.51503453,2626.8,0.810367912,34900,2.2,6.098864727,21.72079508,35.81998171,38.8,41
"29","CZ02",0.506408285,124.4,0.757644271,15500,3.1,2.758358731,11.83230385,15.14082703,19,40.7
"30","CZ03",0.505871794,70.9,0.236320968,14600,3.1,3.384248014,6.406192103,8.711762526,17.1,42.1
"31","CZ04",0.50470618,132.1,-0.123231613,11900,5.2,5.621717319,10.48494897,14.22383715,12.6,41.7
"32","CZ05",0.507550048,123.1,0.03377103,13900,4,2.408425109,6.004475823,9.554083077,17.2,41.9
"33","CZ06",0.50816266,123,0.08898783,15400,3.7,2.576432176,7.895517958,4.873849807,23.2,41.7
"34","CZ07",0.510870154,133.6,-0.115303175,13600,3.9,2.698061496,4.863071329,5.986580219,17,42.2
"35","CZ08",0.510090982,228,-0.193767303,13900,6.9,4.68140485,8.134765118,7.557831422,18,42.1
"36","DE1",0.504266786,308.8,0.656420106,43900,3.1,2.986318086,7.209811962,4.641707089,26.9,44.3
"37","DE2",0.50541791,184.4,0.709307437,44500,2.5,2.029039716,3.480355921,3.41495326,25.9,44.7
"38","DE3",0.50951199,4193.2,1.356891459,36700,7.8,17.03678178,24.75262292,27.86055009,34.5,42.2
"39","DE4",0.505686515,85.8,0.791926678,27000,4.6,4.913824952,11.42534729,21.37372999,24.5,49.6
"40","DE5",0.50722201,1726.7,1.17053295,47700,5.3,18.88340688,42.84508011,13.6264332,23.5,44.3
"41","DE6",0.511548566,2533.7,1.052753484,62900,4.1,14.82593789,42.16161056,19.31847681,31.9,41.5
"42","DE7",0.506534144,294.4,0.651957232,43700,3.9,5.786755939,16.14916165,8.124773727,26.3,45
"43","DE8",0.505178118,71.4,0.329640614,25500,6.3,5.098110722,7.833228518,14.1965638,23.3,49.4
"44","DE9",0.506043134,167.6,0.457182204,35100,4,5.309969635,14.94209559,7.874751832,19.6,46.1
"45","DEA",0.50922106,528.3,0.29978983,37500,4.5,8.116194349,25.05888999,13.06203526,22.3,45.4
"46","DEB",0.506678958,205.9,0.532841098,34400,3.6,3.85412269,11.30328812,7.577471691,22,46.4
"47","DEC",0.509208043,388.4,0.57613673,34600,4.8,5.484146698,17.03500513,8.216175822,19.7,48.4
"48","DED",0.507555845,224.7,0.301626669,29100,5,4.759047515,7.882784464,14.44605935,25.7,48.5
"49","DEE",0.507145943,110.7,0.184504803,26500,7.4,6.01210437,10.23839107,14.12621856,20.7,50.1
"50","DEF",0.510458899,186.3,1.107875779,31400,4,6.737295161,23.70996189,11.5506483,20.6,46.9
"51","DEG",0.504707207,134.1,-0.126640359,27800,5.1,3.418230131,2.966765774,6.490951825,24.2,49.3
"52","EE00",0.531356957,30.3,0.078270808,16500,6.8,18.6338539,51.73710177,20.51996475,34.1,41.6
"53","ES11",0.5166968,92.4,0.103268186,21400,17.2,5.293919125,10.04006467,7.110027492,33.4,46.7
"54","ES12",0.521631241,98.2,0.022480006,20800,17.6,5.879386123,7.397266854,6.388548647,38,48.3
"55","ES13",0.5115055,110.5,0.116394051,21600,14.9,6.815403843,10.36902751,6.798236579,36.4,45.2
"56","ES21",0.515037896,301.2,0.288068848,31600,12.6,12.89701885,20.17498542,5.448077831,45.4,45.7
"57","ES22",0.504400097,61.7,0.423538713,29900,12.5,3.419682942,13.39637263,3.247130133,40.7,43.1
"58","ES23",0.50603881,62.2,0.038042262,25400,13.5,7.033023241,15.63249257,5.274767431,34.1,43.9
"59","ES24",0.504790413,27.8,0.004019503,26400,14.7,12.28602783,16.56338567,7.712895248,33.3,44.4
"60","ES30",0.519829553,809.2,0.5372902,32900,15.7,32.42700538,20.24352943,21.3860708,42.6,41.8
"61","ES41",0.505570282,26.1,-0.274684309,22600,15.8,5.382052383,11.41598091,5.744658486,31.7,47.4
"62","ES42",0.49723803,25.8,-0.320708673,19000,23.5,5.954414564,24.64249109,9.156132559,25,42.1
"63","ES43",0.502780264,26.4,-0.459920975,16800,27.5,4.064632261,10.94040475,5.622280452,23.1,43.7
"64","ES51",0.510286449,232.3,0.369518472,28800,15.7,33.9538544,28.8015183,16.92428347,35.4,42.4
"65","ES52",0.506107741,213.3,0.071669735,21100,20.6,21.05488523,47.17429654,16.28636428,30.4,42.9
"66","ES53",0.500192422,229.9,1.123531189,25500,13.9,12.99836992,30.61133729,17.34877286,26.4,40.7
"67","ES61",0.505546675,96.9,-0.057474178,17800,28.9,14.51014746,24.44258972,16.73652814,26.5,41
"68","ES62",0.498724151,130,0.12656208,19800,19.8,10.78096168,33.90445381,16.31805269,25.6,39.8
"69","ES63",0.491707225,4242.2,-0.20082219,19400,24.9,22.32670226,10.98615508,51.50498512,25,36.3
"70","ES70",0.502863186,289.1,0.873216627,19900,26.1,9.104495157,17.56268356,13.71762671,26.6,41.8
"71","FI19",0.504766097,23.7,0.188599074,34800,9.4,1.892516656,12.16721436,13.32012681,34.2,43
"72","FI1B",0.51397028,179.1,0.797093802,51700,7.4,4.017871195,9.529328917,26.38463803,43.3,39.3
"73","FI1C",0.510376211,36.9,0.166825938,34600,9.1,2.447240004,12.77045664,23.73133441,32.5,45.5
"74","FI1D",0.500698906,6.4,-0.045361533,32600,10.2,2.210315783,13.18488021,17.28205093,31,44.4
"75","FI20",0.500224269,18.7,0.810820136,46600,4.4,0.345029845,7.245626747,7.590656592,24.5,44
"76","FR10",0.517288002,1015.3,-0.561461243,56400,9.2,47.18855914,33.88012939,39.4292973,41.6,37.1
"77","FRB0",0.515029874,65.7,-0.116957204,27400,9.9,7.998864177,26.81287546,25.50559261,25.8,43.4
"78","FRC1",0.515539937,51.8,-0.112214054,27100,9.5,5.622913157,21.20955517,22.31460108,25,45.2
"79","FRC2",0.50925409,72.8,-0.228482451,25100,8.2,4.972903184,18.78181663,17.21454731,27.7,42.2
"80","FRD1",0.515761002,83.2,-0.113852583,26400,8.6,4.873594526,14.70877904,15.18260073,22.9,44.3
"81","FRD2",0.516879553,151.8,-0.231251816,28600,11.5,14.93613404,25.09980738,27.52639112,24.5,41
"82","FRE1",0.516490577,328.1,-0.410534139,27000,13.3,17.0771599,30.85816778,28.49711176,25.8,38.6
"83","FRE2",0.512322878,99.6,-0.314682818,24700,11.6,10.33418166,24.43048154,32.84996755,20.5,40.5
"84","FRF1",0.512187459,228.1,-0.142663801,30600,10.9,9.027943635,18.38494812,15.38094101,31,41.4
"85","FRF2",0.513829385,52.1,-0.388524866,27700,11.3,8.715557796,24.80408746,27.67677131,20.9,42.2
"86","FRF3",0.511835119,99.3,-0.31435699,24600,11.8,8.349773376,22.12347741,19.06075316,27.5,42.4
"87","FRG0",0.512944827,116.4,0.299895763,29900,8.8,4.355699009,18.03815892,22.05674609,28.9,41.3
"88","FRH0",0.514296109,120.9,0.336727729,28100,8.6,4.781449066,14.3292256,16.25874142,30.7,43.1
"89","FRI1",0.51865516,82.3,0.630006746,29100,10.1,7.782990997,27.15353239,23.50221628,29.3,43.9
"90","FRI2",0.518494868,43.3,0.180702839,25400,7.1,3.451016623,14.75513407,14.00786669,29.7,47.2
"91","FRI3",0.516996431,69.8,0.319494478,26700,9,3.581925614,23.15795185,24.88524828,24.8,45.6
"92","FRJ1",0.520157677,102.4,0.560734013,24700,12,18.6338539,50.01247627,45.30120792,27.6,43.9
"93","FRJ2",0.513320147,66.6,0.455502446,30700,8.6,12.10892259,29.18280195,23.05703366,34.6,43
"94","FRK1",0.515599329,52.3,0.176251584,26200,7.2,4.862871427,14.74264188,17.02371732,28.1,45.4
"95","FRK2",0.513113075,148.6,0.200228977,33300,8,11.31609582,29.74747681,29.60099013,34.1,40.1
"96","FRL0",0.521404528,161,0.127500832,30900,10.6,38.16263395,51.73710177,58.41382035,31.9,43.7
"97","HU10",0.528581659,441.3,0.411062584,44100,3.4,6.002108253,27.13473982,19.17200967,22.3,50
"98","HU21",0.517621804,99,-0.081832521,11000,3,2.969728567,13.69846225,5.373794549,16.6,42.4
"99","HU22",0.517617561,87.9,0.314858837,12700,2.7,1.910699204,12.82607657,4.583645431,16.9,42.8
