,domain,fem_p_16,gdp_eurhab_16,robb_r_10,burg_r_10,he_p_16,medage_16
1,AT11,0.508750528,28600,0.652896282,7.662940576,26.4,46.3
2,AT12,0.507685535,33300,1.366639838,15.46238082,28.6,44.7
3,AT13,0.514687326,49200,16.97074164,50.64051915,35.9,39.7
4,AT21,0.512118141,34200,1.605760756,9.045785592,27.2,45.9
5,AT22,0.507126554,36500,2.118485859,9.439843118,25.9,44.2
6,AT31,0.504688613,41600,2.015202745,6.795291166,26.7,42.8
7,AT32,0.5105173,48900,2.198547127,8.024697013,29,42.6
8,AT33,0.507468825,43600,1.461159538,4.884061049,25.6,41.8
9,AT34,0.504551643,44100,1.822219098,4.972054969,24.8,41.3
10,BE10,0.509034908,64200,72.63888253,96.61321002,38.1,35.5
11,BE21,0.503988951,44800,20.12655508,59.37907855,31.1,41.9
12,BE22,0.500976966,30800,6.528484261,35.66444052,29.8,43.6
13,BE23,0.506510714,34800,9.992720357,37.88906469,35.4,42.3
14,BE24,0.509893105,40700,8.881168715,54.19561732,41.6,42.4
15,BE25,0.504828532,36800,7.522682026,28.50345064,32.5,45.3
16,BE31,0.514709173,42400,10.91151366,58.68081308,44.6,41.5
17,BE32,0.513913337,24000,24.35011075,92.71084728,26.4,41.3
18,BE33,0.510456823,26900,26.34369138,78.8045202,29.3,41.1
19,BE34,0.500178283,23700,8.04922738,43.03512358,30.7,39.4
20,BE35,0.509504668,25900,12.57940879,60.03162126,30.2,40.9
21,CH01,0.510661365, ,6.449835899,56.21646854,35,40.7
22,CH02,0.507443883, ,2.540370449,21.31631358,32.4,43.1
23,CH03,0.504653489, ,2.923657975,18.9860577,35.7,43.2
24,CH04,0.503201666, ,4.255249505,36.58559871,44.4,41
25,CH05,0.499377105, ,1.551819053,11.42624308,30,42.7
26,CH06,0.49702704, ,1.93558671,16.12988925,35.6,42.2
27,CH07,0.512805942, ,2.017354935,32.13561171,31.7,45.8
28,CZ01,0.51503453,34900,6.098864727,21.72079508,38.8,41
29,CZ02,0.506408285,15500,2.758358731,11.83230385,19,40.7
30,CZ03,0.505871794,14600,3.384248014,6.406192103,17.1,42.1
31,CZ04,0.50470618,11900,5.621717319,10.48494897,12.6,41.7
32,CZ05,0.507550048,13900,2.408425109,6.004475823,17.2,41.9
33,CZ06,0.50816266,15400,2.576432176,7.895517958,23.2,41.7
34,CZ07,0.510870154,13600,2.698061496,4.863071329,17,42.2
35,CZ08,0.510090982,13900,4.68140485,8.134765118,18,42.1
36,DE1,0.504266786,43900,2.986318086,7.209811962,26.9,44.3
37,DE2,0.50541791,44500,2.029039716,3.480355921,25.9,44.7
38,DE3,0.50951199,36700,17.03678178,24.75262292,34.5,42.2
39,DE4,0.505686515,27000,4.913824952,11.42534729,24.5,49.6
40,DE5,0.50722201,47700,18.88340688,42.84508011,23.5,44.3
41,DE6,0.511548566,62900,14.82593789,42.16161056,31.9,41.5
42,DE7,0.506534144,43700,5.786755939,16.14916165,26.3,45
43,DE8,0.505178118,25500,5.098110722,7.833228518,23.3,49.4
44,DE9,0.506043134,35100,5.309969635,14.94209559,19.6,46.1
45,DEA,0.50922106,37500,8.116194349,25.05888999,22.3,45.4
46,DEB,0.506678958,34400,3.85412269,11.30328812,22,46.4
47,DEC,0.509208043,34600,5.484146698,17.03500513,19.7,48.4
48,DED,0.507555845,29100,4.759047515,7.882784464,25.7,48.5
49,DEE,0.507145943,26500,6.01210437,10.23839107,20.7,50.1
50,DEF,0.510458899,31400,6.737295161,23.70996189,20.6,46.9
51,DEG,0.504707207,27800,3.418230131,2.966765774,24.2,49.3
52,EE00,0.531356957,16500,,,34.1,41.6
53,ES11,0.5166968,21400,5.293919125,10.04006467,33.4,46.7
54,ES12,0.521631241,20800,5.879386123,7.397266854,38,48.3
55,ES13,0.5115055,21600,6.815403843,10.36902751,36.4,45.2
56,ES21,0.515037896,31600,12.89701885,20.17498542,45.4,45.7
57,ES22,0.504400097,29900,3.419682942,13.39637263,40.7,43.1
58,ES23,0.50603881,25400,7.033023241,15.63249257,34.1,43.9
59,ES24,0.504790413,26400,12.28602783,16.56338567,33.3,44.4
60,ES30,0.519829553,32900,32.42700538,20.24352943,42.6,41.8
61,ES41,0.505570282,22600,5.382052383,11.41598091,31.7,47.4
62,ES42,0.49723803,19000,5.954414564,24.64249109,25,42.1
63,ES43,0.502780264,16800,4.064632261,10.94040475,23.1,43.7
64,ES51,0.510286449,28800,33.9538544,28.8015183,35.4,42.4
65,ES52,0.506107741,21100,21.05488523,47.17429654,30.4,42.9
66,ES53,0.500192422,25500,12.99836992,30.61133729,26.4,40.7
67,ES61,0.505546675,17800,14.51014746,24.44258972,26.5,41
68,ES62,0.498724151,19800,10.78096168,33.90445381,25.6,39.8
69,ES63,0.491707225,19400,22.32670226,10.98615508,25,36.3
70,ES70,0.502863186,19900,9.104495157,17.56268356,26.6,41.8
71,FI19,0.504766097,34800,1.892516656,12.16721436,34.2,43
72,FI1B,0.51397028,51700,4.017871195,9.529328917,43.3,39.3
73,FI1C,0.510376211,34600,2.447240004,12.77045664,32.5,45.5
74,FI1D,0.500698906,32600,2.210315783,13.18488021,31,44.4
75,FI20,0.500224269,46600,0.345029845,7.245626747,24.5,44
76,FR10,0.517288002,56400,47.18855914,33.88012939,41.6,37.1
77,FRB0,0.515029874,27400,7.998864177,26.81287546,25.8,43.4
78,FRC1,0.515539937,27100,5.622913157,21.20955517,25,45.2
79,FRC2,0.50925409,25100,4.972903184,18.78181663,27.7,42.2
80,FRD1,0.515761002,26400,4.873594526,14.70877904,22.9,44.3
81,FRD2,0.516879553,28600,14.93613404,25.09980738,24.5,41
82,FRE1,0.516490577,27000,17.0771599,30.85816778,25.8,38.6
83,FRE2,0.512322878,24700,10.33418166,24.43048154,20.5,40.5
84,FRF1,0.512187459,30600,9.027943635,18.38494812,31,41.4
85,FRF2,0.513829385,27700,8.715557796,24.80408746,20.9,42.2
86,FRF3,0.511835119,24600,8.349773376,22.12347741,27.5,42.4
87,FRG0,0.512944827,29900,4.355699009,18.03815892,28.9,41.3
88,FRH0,0.514296109,28100,4.781449066,14.3292256,30.7,43.1
89,FRI1,0.51865516,29100,7.782990997,27.15353239,29.3,43.9
90,FRI2,0.518494868,25400,3.451016623,14.75513407,29.7,47.2
91,FRI3,0.516996431,26700,3.581925614,23.15795185,24.8,45.6
92,FRJ1,0.520157677,24700,18.6338539,50.01247627,27.6,43.9
93,FRJ2,0.513320147,30700,12.10892259,29.18280195,34.6,43
94,FRK1,0.515599329,26200,4.862871427,14.74264188,28.1,45.4
95,FRK2,0.513113075,33300,11.31609582,29.74747681,34.1,40.1
96,FRL0,0.521404528,30900,38.16263395,51.73710177,31.9,43.7
97,HU10,0.528581659, ,6.002108253,27.13473982,,
98,HU21,0.517621804,11000,2.969728567,13.69846225,16.6,42.4
99,HU22,0.517617561,12700,1.910699204,12.82607657,16.9,42.8
100,HU23,0.524060129,7600,2.02027378,25.00921334,16.4,43.8
