domain,pop2016
AT11,291011
AT12,1653691
AT13,1840226
AT21,560482
AT22,1232012
AT31,1453948
AT32,545815
AT33,739139
AT34,384147
BE10,1201285
BE21,1828927
BE22,866970
BE23,1489084
BE24,1122600
BE25,1184418
BE31,397745
BE32,1341267
BE33,1103490
BE34,283257
BE35,492074
CH01,1593839
CH02,1842251
CH03,1128723
CH04,1466424
CH05,1153485
CH06,790458
CH07,351946
CZ01,1267449
CZ02,1326876
CZ03,1214450
CZ04,1120654
CZ05,1507209
CZ06,1684500
CZ07,1219394
CZ08,1213311
DE1,10879618
DE2,12843514
DE3,3520031
DE4,2484826
DE5,671489
DE6,1787408
DE7,6176172
DE8,1612362
DE9,7926599
DEA,17865516
DEB,4052803
DEC,995597
DED,4084851
DEE,2245470
DEF,2858714
DEG,2170714
EE00,1315944
ES11,2720102
ES12,1040925
ES13,582504
ES21,2164066
ES22,637486
ES23,312810
ES24,1318571
ES30,6424275
ES41,2454454
ES42,2048900
ES43,1084969
ES51,7408290
ES52,4932347
ES53,1135527
ES61,8403774
ES62,1466474
ES63,84652
ES64,84764
ES70,2135209
FI19,1379116
FI1B,1620261
FI1C,1160491
FI1D,1298457
FI20,28983
FR10,12117132
FRB0,2577866
FRC1,1637941
FRC2,1180397
FRD1,1477349
FRD2,1858580
FRE1,4074448
FRE2,1932422
FRF1,1884150
FRF2,1333248
FRF3,2337788
FRG0,3737632
FRH0,3306529
FRI1,3393297
FRI2,736015
FRI3,1806291
FRJ1,2793303
FRJ2,3015132
FRK1,1363392
FRK2,6553497
FRL0,5021928
FRM0,330455
FRY1,429856
FRY2,376480
FRY3,269352
FRY4,852924
FRY5,240987
UKC,2630654
UKD,7199476
UKE,5407699
UKF,4701311
UKG,5782942
UKH,6102398
UKI,8718245
UKJ,8989881
UKK,5494303
UKL,3106222
UKM,5388865
UKN,1857048
HU10,2993948
HU21,1060703
HU22,983933
HU23,900868
HU31,1153714
HU32,1474383
HU33,1262936
IE01,1259673
IE02,3466613
IS00,332529
ITC1,4404246
ITC2,127329
ITC3,1571053
ITC4,10008349
ITF1,1326513
ITF2,312027
ITF3,5850850
ITF4,4077166
ITF5,573694
ITF6,1970521
ITG1,5074261
ITG2,1658138
ITH1,520891
ITH2,538223
ITH3,4915123
ITH4,1221218
ITH5,4448146
ITI1,3744398
ITI2,891181
ITI3,1543752
ITI4,5888472
LT00,2888558
NL11,583721
NL12,646040
NL13,488629
NL21,1144280
NL22,2035351
NL23,404068
NL31,1273613
NL32,2784854
NL33,3622303
NL34,381252
NL41,2498749
NL42,1116260
NO01,1251687
NO02,384221
NO03,984764
NO04,768179
NO05,890719
NO06,449457
NO07,481694
PL11,2479350
PL12,5323267
PL21,3330031
PL22,4520567
PL31,2118528
PL32,2083496
PL33,1241895
PL34,1158945
PL41,3450966
PL42,1684025
PL43,1005159
PL51,2864624
PL52,952557
PL61,2062006
PL62,1414734
PL63,2277059
PT11,3603778
PT15,441929
PT16,2256364
PT17,2812678
PT18,724391
PT20,245766
PT30,256424
SE11,2231439
SE12,1638825
SE21,834276
SE22,1459880
SE23,1963466
SE31,838747
SE32,371273
SE33,513111
SI0,2064188
